ID_MAQUINA,MAQUINA_TXT,MAQUINA_TIPO,total_horas,dias_activos,ultimo_reporte,total_reportes,promedio_horas_dia
m000068,EX-16 KOMATSU PC300LC-8,EXCAVADORA,153,12,2025-12-16,17,12.75
m000056,EX-03,EXCAVADORA,136,18,2026-03-18,20,7.56
m000013,CP-06 DJBD80,CAMION PLUMA,126,24,2026-01-31,26,5.25
fb6a41c0,GM-03,GRUA MOVIL,126,33,2026-03-24,33,3.82
93c7cd90,CT-34 YU4943-9,CAMION TOLVA,123,21,2026-03-18,23,5.86
1234c9d4,BA-01,BARREDORA,122,56,2026-03-15,57,2.18
m000061,EX-09 KOMATSU PC300LC-8,EXCAVADORA,113,11,2025-12-13,13,10.27
883e13bb,T-05 DONGFENG DF404,TRACTOR,111,31,2026-03-27,32,3.58
m000089,RX-07 HYVX68-K JCB 3CXG 4X4,RETROEXCAVADORA,111,13,2025-12-15,13,8.54
8ddbca03,EX-17 KOMATSU PC210LC-10H0,EXCAVADORA,110,13,2025-12-15,13,8.46
m000042,G-03 CUMMINS C440 D5,GENERADOR,108,11,2025-12-16,12,9.82
m000086,RX-04 GTJH71-2 CATERPILLAR 416E,RETROEXCAVADORA,103,13,2025-12-15,13,7.92
m000051,CF-04 VOLVO L150G,CARGADOR FRONTAL,95,11,2025-12-16,11,8.64
m000059,EX-07 KOMATSU PC200 LC-8MO,EXCAVADORA,92,10,2025-12-11,12,9.2
m000082,RC-01 DBFS56,RODILLO COMPACTADOR,92,31,2026-03-06,33,2.97
m000073,MN-02 CKPV.95-2 KOMATSU GD675-3EO,MOTO NIVELADORA,91,12,2025-12-12,12,7.58
9b5928af,EX-18 KOMATSU PC210LC-10M0,EXCAVADORA,90,11,2025-12-12,12,8.18
m000074,MN-03 KTRL-62 KOMATSU GD675-5,MOTO NIVELADORA,89,12,2025-12-13,13,7.42
80f5078d,EX-19 KOMATSU PC210LC-10M0,EXCAVADORA,88,12,2025-12-15,15,7.33
85dee624,EX-20 KOMATSU PC290LC-11E0,EXCAVADORA,87,13,2025-12-17,13,6.69
55873b1e,EX-21,EXCAVADORA,86,18,2026-03-28,19,4.78
m000047,BD-03 KSRG22-7 JOHN DEERE 850J,BULLDOZER,85,12,2025-12-12,12,7.08
m000024,CT-09 GGFY95,TOLVA,81,12,2025-12-17,27,6.75
m000066,EX-14 KOMATSU PC200LC-8M0,EXCAVADORA,78,12,2025-12-12,12,6.5
m000093,T-04 SHRB11,TRACTOR,74,12,2026-02-06,13,6.17
