ID_MAQUINA,total_litros,num_recargas,promedio_litros_recarga,ultima_recarga,MAQUINA,TIPO_MAQUINA
m000073,4062.0,19,213.8,2026-03-26 19:26:43.008,[MN-02 CKPV95] - KOMATSU GD675-3EO,MOTO NIVELADORA
704594fd,3990.0,21,190.0,2026-02-17 10:10:56.928,[CT-20 BFTP53] - MERCEDEZ BENZ ,TOLVA
a9c2377c,3976.0,22,180.7,2026-03-28 13:44:15.360,[CT-38 VJGJ12] - IVECO TRAKKER 500,CAMION TOLVA
1f45f283,3900.5,23,169.6,2026-03-11 10:05:49.344,[TR-01] - CASE 2166,TRILLADORA
m000034,3773.0,28,134.8,2026-03-30 08:01:37.344,[CT-14 RCKP70] - MERCEDEZ BENZ AROCS 3342,TOLVA
m000040,3713.0,35,106.1,2026-03-29 12:50:16.224,[G-01] - JOHN DEERE J-130 130 / kva,GENERADOR
cf8acb7e,3373.0,101,33.4,2026-03-30 08:58:52.608,[TALLER] -  ,NO APLICA
m000025,3294.0,25,131.8,2026-03-30 08:39:52.992,[CT-10 HKDX21] - FOTON AUMAN 3239,TOLVA
m000089,3191.0,46,69.4,2026-03-30 08:14:04.704,[RX-07 HYVX68] - JCB 3CXG 4X4,RETROEXCAVADORA
38124bea,3163.0,19,166.5,2026-02-25 08:11:43.872,[CT-37 VJGJ10] - IVECO TRAKKER 500,CAMION TOLVA
m000035,3093.0,24,128.9,2026-03-30 08:06:51.840,[CT-15 RCKP71] - MERCEDEZ BENZ AROCS 3342,TOLVA
c8766843,3076.0,15,205.1,2026-03-27 17:26:51.072,[G-11] - CUMMINS 330KVA,GENERADOR
m000002,3067.0,16,191.7,2026-03-28 18:54:57.888,[GM-02] - TEREX GRUA ESTRUCTURAL TEREX 2001,GRUA MOVIL
m000053,3054.0,25,122.2,2026-03-27 09:11:21.696,[CF-06 PPFG75] - JOHN DEERE 624K-II,CARGADOR FRONTAL
e758af11,2721.6,24,113.4,2026-03-28 18:10:17.760,[RC-02 RSRK53] - HAMM ,RODILLO COMPACTADOR
c0f0efc7,2653.0,32,82.9,2026-03-29 12:59:31.776,[RX-08 JOHN DEERE] - JOHN DEERE ,RETROEXCAVADORA
m000137,2649.0,62,42.7,2026-03-29 12:41:15.360,"[C-38 SRPL59] - MAXUS T60 DX 4X4 CABSIM 2,8CC",CAMIONETA
2115423d,2617.0,24,109.0,2026-03-29 09:05:30.048,[GM-04] - TEREX RT-345-1 XL,GRUA MOVIL
m000052,2610.0,35,74.6,2026-02-20 12:28:22.944,[CF-05 LZRC22] - CLINTON LW 300 F,CARGADOR FRONTAL
m000012,2588.0,44,58.8,2026-03-27 08:11:12.768,[CP-04 LBLG59] - MITSUBUSHI CANTER 7.5,CAMION PLANO
m000001,2466.0,30,82.2,2026-03-26 17:23:47.040,[CP-05 RKYD89] - MITSUBISHI FUSO CANTER 815,CAMION PLANO
ad9b215c,2419.0,17,142.3,2026-02-05 10:19:00.768,[CT-22 BFTP66] - MERCEDEZ BENZ ,TOLVA
m000056,2313.0,14,165.2,2026-03-30 09:06:14.112,[EX-03] - JCB JS 200 LC,EXCAVADORA
m000085,2298.0,41,56.0,2026-03-26 15:28:29.856,[RX-03 FPLK20] - JCB 3 C 4X4 TURBO,RETROEXCAVADORA
m000022,2275.0,12,189.6,2026-02-03 16:42:38.592,[CT-07 CHPV26] - FREIGHTLINER M2 112,TOLVA
m000093,2248.1,23,97.7,2026-03-28 12:30:05.760,[T-04 SHRB11] - CASE MAXXUM 125 DT,TRACTOR 
m000141,2244.1,58,38.7,2026-03-26 17:26:58.848,[C-43 STWW21] - MITSUBISHI L200 ,CAMIONETA
m000129,2217.0,54,41.1,2026-03-29 11:35:56.256,[C-30 RWRH50] - JMC VIGUS WOR 4X4,CAMIONETA
m000008,2191.0,21,104.3,2026-03-28 08:32:32.352,[CM-01 YZ6869] - INTERNACIONAL 7600,CAMION MIXER
59715543,2177.0,14,155.5,2026-03-16 08:34:58.368,[CT-31 YU4569-7] - MACK CV713,TOLVA
m000138,2154.0,43,50.1,2026-03-29 17:37:52.032,"[C-39 SRPL60] - MAXUS T60 DX 4X4 CABSIM 2,8CC",CAMIONETA
102cb70d,2001.0,14,142.9,2026-03-30 08:31:24.960,[CT-25 WH9819-7] - MACK CV713,CAMION TOLVA
m000087,1890.0,27,70.0,2026-03-19 11:18:28.224,[RX-05 GYXY37] - NEW HOLAND B90B 4X4,RETROEXCAVADORA
a176100b,1862.0,9,206.9,2026-03-30 09:36:50.112,[CT-33 YU4931-5] - MACK CV713,CAMION TOLVA
m000124,1810.0,39,46.4,2026-03-26 11:58:48.288,"[C-24  RCXB16] - MAXUS T60 DX 4X4 DCAB 2,8CC",CAMIONETA
dece6299,1788.0,32,55.9,2026-03-27 15:22:44.256,[C-49 JRPT44] - NISSAN ,CAMIONETA
adc86871,1728.9,52,33.2,2026-03-30 07:20:02.112,[C-54 VPPL47] - MAXUS T60 CS MT 4X4 2.0 DX PLUS,CAMIONETA
m000109,1724.3,34,50.7,2026-03-30 08:50:16.800,"[C-09  JYFV98] - MITSUBISHI L 200 4X2, WORK CR 2,4cc DOB CAB",CAMIONETA
m000134,1715.4,37,46.4,2026-03-27 16:08:13.632,[C-35 SCSL76] - JMC VIGUS WOR LX 4X4,CAMIONETA
475be5c1,1630.0,11,148.2,2026-03-28 12:41:04.992,[CT-30 YU4568-9] - MACK CV713,TOLVA
069deb48,1598.0,32,49.9,2026-03-29 15:23:34.368,[MB-01 KDWS38] - MERCEDEZ BENZ SPRINTER 315 CDI,MINI BUS
m000128,1528.0,29,52.7,2026-03-27 14:57:45.216,[C-29 RWRH49] - JMC VIGUS WOR 4X4,CAMIONETA
m000123,1454.0,30,48.5,2026-03-23 10:19:09.408,"[C-23 RCWX81] - MAXUS T60 DX 4X4 DCAB 2,8CC",CAMIONETA
m000011,1435.0,13,110.4,2026-03-27 12:12:49.824,[CP-03 HKFG20] - FOTON AUMARK 613E,CAMION PLANO
m000135,1434.0,38,37.7,2026-03-28 20:52:08.256,"[C-45  SLCT29] - MAXUS T60 DX 4X4 DCAB 2,8CC",CAMIONETA
m000027,1424.0,10,142.4,2026-03-28 18:13:03.648,[CT-12 PDSF74] - IVECO TRAKKER HI LAND AD 380T50,TOLVA
1b3df8b7,1380.0,22,62.7,2026-03-27 16:03:26.784,[CI-02 GGHD72] - FREIGHTLINER GGHD72,CAMION IMPRIMADOR
4d3f2682,1327.0,15,88.5,2025-12-20 15:49:38.208,[G-10] - CUMMINS ,GENERADOR
m000119,1320.3,25,52.8,2026-03-26 15:24:08.064,"[C-19 RCZX21] - MITSUBISHI L200 4X4 KATANA CRT 2,4CC",CAMIONETA
m000018,1289.0,13,99.2,2026-03-23 08:45:14.400,[CT-03 RD7433] - MACK DM 690 S,CAMION TOLVA
m000116,1255.3,26,48.3,2026-03-26 08:55:03.648,"[C-13 KPGT73] - MITSUBISHI L 200 4X2, WORK CR 2,4cc DOB CAB",CAMIONETA
12fa78bc,1249.0,33,37.8,2026-03-30 09:26:16.800,[C-51 TSXT79] - PEUGEOT PARTNER L2 1.5,CAMIONETA
m000014,1227.0,9,136.3,2026-03-20 11:24:24.192,[CP-07 DZYT67] - FORD CARGO 2429,CAMION PLUMA
m000122,1220.0,26,46.9,2026-02-25 12:53:19.392,"[C-22 RCZX28] - MITSUBISHI L200 4X2, WORK CR WF 2,4CC",CAMIONETA
m000043,1219.0,21,58.0,2026-03-26 13:06:15.264,[G-06] - CATERPILLAR ,EQUIPO MENOR
93c7cd90,1216.0,7,173.7,2026-03-17 08:25:54.912,[CT-34 YU4943-9] - MACK CV713,CAMION TOLVA
m000021,1214.0,10,121.4,2026-03-29 08:25:11.712,[CT-06 BSLY79] - FREIGHTLINER M2 106,TOLVA
m000003,1187.0,4,296.8,2026-03-18 17:27:18.720,[TC-01 ZW5118] - IVECO STRALIS 740S42,TRACTO CAMION
m000136,1153.0,26,44.3,2026-03-16 12:30:00.576,"[C-37 SLCT28] - MAXUS T60 DX 4X4 DCAB 2,8CC",CAMIONETA
fb6a41c0,1109.0,5,221.8,2026-03-27 08:43:54.912,[GM-03] - TEREX HC-110,GRUA MOVIL
m000024,1070.0,4,267.5,2025-12-16 15:14:19.680,[CT-09 GGFY95] - JAC LANDER HFC 3311,TOLVA
m000010,1053.0,22,47.9,2026-03-27 15:01:35.904,[CP-02 HKST11] - FOTON AUMARK 613 CS,CAMION PLANO
m000084,1047.7,13,80.6,2026-03-25 17:08:52.800,[RX-02 BGDW56] - JONH DEERE 310 J,RETROEXCAVADORA
m000120,1001.1,19,52.7,2026-03-26 08:53:20.832,"[C-20 RCZX23] - MITSUBISHI L200 4X2, WORK CR WF 2,4CC",CAMIONETA
m000005,992.0,9,110.2,2026-03-28 12:41:40.416,[CA-01 KJ9233] - MACK ,CAMION ALGIBE
m000106,964.0,18,53.6,2026-03-25 08:10:22.656,"[C-06 GZZB73] - MAHINDRA PIC UP 4X2 2,2cc DOB CAB",CAMIONETA
m000082,943.0,8,117.9,2026-03-05 18:49:09.696,[RC-01 DBFS56] - CATERPILLAR CS 533 E,RODILLO COMPACTADOR
m000118,895.0,20,44.8,2026-02-05 14:59:06.432,"[C-18 KSRB30] - MITSUBISHI L 200 4X4, WORK CR 2,4cc DOB CAB",CAMIONETA
m000031,882.0,6,147.0,2026-03-24 16:21:43.200,[GM-01 YZ9670] - KOMATSU LW250-3,GRUA MOVIL
9ce65bb2,875.8,23,38.1,2026-03-27 16:07:48.576,[Quemador CI-02] -  ,EQUIPO INTEGRADO
m000114,869.0,21,41.4,2026-03-24 08:57:20.160,"[C-14 KPGT71] - MITSUBISHI L 200 4X2, WORK CR 2,4cc DOB CAB",CAMIONETA
9fd5bea4,782.0,4,195.5,2026-02-25 08:20:43.008,[CT-28 WH9822-7] - MACK CV713,TOLVA
m000104,744.0,16,46.5,2026-03-27 11:36:04.896,"[C-04 GBPH77] - JAC REFINE 1,9cc",CAMIONETA
m000091,712.1,20,35.6,2026-03-27 09:41:54.240,[T-02 HLZF62] - SAME EXPLORER 95,TRACTOR
16463019,674.0,6,112.3,2026-03-10 09:15:58.176,[MN-04 YF5586-4 VOLVO G730B] - VOLVO G730B,MOTO NIVELADORA
1c3365b8,659.0,4,164.8,2026-01-30 12:31:37.344,[CT-21 BFTP65] - MERCEDEZ BENZ ,CAMION TOLVA
1234c9d4,656.6,11,59.7,2026-02-06 10:57:05.184,[BA-01] - LAYMOR ,BARREDORA
