ID_MAQUINA,MAQUINA,TIPO_MAQUINA,ESTADO,ultimo_reporte,horas_sin_reporte,tipo_alerta,descripcion,umbral_horas,FECHA,LITROS,promedio_litros
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 367 L (promedio: 119 L),,2026-03-04 18:05:40.416,367.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 322 L (promedio: 119 L),,2026-03-04 18:14:16.224,322.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 360 L (promedio: 119 L),,2026-03-05 10:15:08.352,360.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 340 L (promedio: 119 L),,2026-03-05 18:19:48.000,340.0,118.94988055861816
87eb0330,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 108 L (promedio: 38 L),,2026-03-06 09:00:49.248,108.0,38.42370892018779
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 306 L (promedio: 119 L),,2026-03-06 15:54:12.960,306.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 350 L (promedio: 119 L),,2026-03-07 16:30:11.232,350.0,118.94988055861816
87eb0330,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 120 L (promedio: 38 L),,2026-03-07 17:56:57.696,120.0,38.42370892018779
9e53a97a,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 2999 L (promedio: 817 L),,2026-03-10 08:17:32.064,2999.0,816.9254901960784
m000040,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 316 L (promedio: 106 L),,2026-03-10 09:59:07.584,316.0,106.08571428571429
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 350 L (promedio: 119 L),,2026-03-10 11:29:26.592,350.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 317 L (promedio: 119 L),,2026-03-10 11:46:14.880,317.0,118.94988055861816
87eb0330,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 103 L (promedio: 38 L),,2026-03-10 14:14:00.384,103.0,38.42370892018779
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 342 L (promedio: 119 L),,2026-03-10 17:42:24.192,342.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 360 L (promedio: 119 L),,2026-03-11 08:21:59.904,360.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 351 L (promedio: 119 L),,2026-03-11 08:45:34.272,351.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 433 L (promedio: 119 L),,2026-03-11 08:48:52.128,433.0,118.94988055861816
9e53a97a,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 3500 L (promedio: 817 L),,2026-03-11 12:11:59.712,3500.0,816.9254901960784
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 350 L (promedio: 119 L),,2026-03-11 16:09:32.256,350.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 298 L (promedio: 119 L),,2026-03-11 16:17:15.360,298.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 445 L (promedio: 119 L),,2026-03-11 17:27:44.640,445.0,118.94988055861816
9e53a97a,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 4001 L (promedio: 817 L),,2026-03-12 08:40:41.376,4001.0,816.9254901960784
9e53a97a,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 3000 L (promedio: 817 L),,2026-03-12 18:21:06.624,3000.0,816.9254901960784
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 310 L (promedio: 119 L),,2026-03-13 18:37:55.776,310.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 404 L (promedio: 119 L),,2026-03-14 12:30:50.688,404.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 300 L (promedio: 119 L),,2026-03-14 17:55:31.296,300.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 309 L (promedio: 119 L),,2026-03-14 19:31:10.848,309.0,118.94988055861816
